stopId,stopName,lat,lng
4072,Chợ Tam Bình,10.870149,106.738674
4074,Nhà sách Tam Bình,10.869005,106.735557
3188,Đường Tam Bình,10.844887,106.728932
3189,Đường 38,10.842652,106.730919
3190,Chợ Hiệp Bình,10.838664,106.732254
4085,Trường Tiểu Học Hoàng Diệu,10.856169,106.775436
4089,Công ty dệt Việt Thắng,10.858211,106.777539
4137,Trường Mầm non Hiệp Bình Chánh,10.830434,106.728889
1034,Bệnh viện Đa khoa Thủ Đức,10.860929,106.780098
3279,Hẻm 64,10.8611,106.7831
4556,Ngã ba Đường 17,10.862367,106.786487
4458,Đường 17,10.8638,106.7876
3165,Nhà thờ Cha Tam,10.752719,106.653975
3167,Châu Văn Liêm,10.752883,106.658111
3169,Cây Xăng dầu,10.755939,106.672837
3172,Thanh tra Sở Giao thông Vận tải,10.761678,106.676742
3171,Ngã bảy Lý Thái Tổ,10.766764,106.674827
3177,Công An Phường 10,10.770045,106.673393
3178,Ngã bảy Lý Thái Tổ,10.766851,106.674652
3180,Ngã tư Trần Nhân Tông,10.761984,106.676012
3181,Công Viên Hòa Bình,10.760503,106.673765
6862,Tân Điền,10.466353,106.776466
6863,An Nghĩa,10.588982,106.830593
6886,Rừng Sác,10.587579,106.82539
6890,Ngã 3 Lý Nhơn,10.471349,106.7696
6891,Tổ nhân dân 24,10.482199,106.761746
6892,Tổ nhân dân 25,10.492886,106.758812
6893,Cống Ông Tư Kính,10.510857,106.758571
6900,Trạm kiểm lâm Tắc Cá Cháy 1,10.557811,106.817214
7101,Lý Nhơn,10.555828,106.810445
6894,Bến đò Rạch Cát- Vàm Sác,10.528615,106.757616
7103,Lý Nhơn,10.55258,106.79934
6895,Ngã 3 Lý Nhơn,10.532966,106.766837
6896,Chợ Vàm Sác,10.536104,106.76754
6901,Cây xăng Cẩm Thanh,10.553065,106.776488
6897,Trường THCS Doi Lầu,10.555296,106.758683
6902,Trường THCS Doi Lầu,10.55471,106.758485
6903,Chợ Vàm Sác,10.535978,106.767288
6898,Cây xăng Cẩm Thanh,10.552764,106.777164
6904,Dương Văn Hạnh,10.532855,106.766092
7104,Lý Nhơn,10.552506,106.799641
6905,Bến đò Rạch Cát- Vàm Sác,10.528457,106.757498
7102,Lý Nhơn,10.555628,106.810359
6906,Cống Ông Tư Kính,10.510646,106.758404
6899,Trạm kiểm lâm Tắc Cá Cháy 1,10.557732,106.817504
6907,Tổ nhân dân 25,10.491483,106.758678
6908,Tổ nhân dân 24,10.481915,106.761661
6909,Trạm y tế xã Lý Nhơn,10.470943,106.7699
6867,Tam Thôn Hiệp,10.587437,106.825535
6861,Bà Xán,10.616538,106.81884
6860,An Thới Đông,10.591123,106.788638
6877,Nghĩa trang Bình Khánh,10.61784,106.825283
6864,Trường tiểu học An Thới Đông,10.590806,106.792517
7100,An Thới Đông,10.590268,106.80133
7079,Đội 5,10.620097,106.835368
7098,An Thới Đông,10.587036,106.803616
6878,Bà Xán,10.619232,106.842567
6865,Trường Trung học An Thới Đôn,10.58335,106.805504
6879,Cầu Tắc Tây Đen,10.61804,106.847212
6880,Nhà văn hóa Ấp Trần Hưng Đạo,10.617861,106.855811
7096,An Thới Đông,10.576036,106.81708
6866,Rừng Sác,10.576221,106.824365
6881,Đình xã Tam Thôn Hiệp,10.607532,106.858934
7083,Nguyễn Công Bao,10.601779,106.85998
6868,Trường An Nghĩa,10.588829,106.830411
7085,Nguyễn Công Bao 2,10.598515,106.85955
7094,Tam Thôn Hiệp,10.587305,106.833785
6883,Trường Trung học Tam Thôn Hiệp,10.588138,106.854706
